MFG.num,phyto_name,Algaebase_Current_7Aug2017,Match.,X,genus,species,MFG,CSR,flagella,autotroph,size,colonial,centric,gelatinous,aerotopes,filamentous
9b,Acanthosphaera zachariasii,Acanthosphaera zachariasii,TRUE,,Acanthosphaera,zachariasii,9b-SmallChlor,C,0,1,Small,0,NA,NA,NA,NA
9b,Tetraedron caudatum,Tetraedron caudatum,TRUE,,Tetraedron,caudatum,9b-SmallChlor,C,0,1,Small,0,NA,NA,NA,NA
9b,Ankistrodesmus falcatus,Ankistrodesmus falcatus,TRUE,,Ankistrodesmus,falcatus,9b-SmallChlor,C,0,1,Small,0,NA,NA,NA,NA
NA,Acanthoceras zachariasii,Acanthoceras zachariasii,TRUE,,Acanthoceras,zachariasii,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,Aphanothece clathrata,Anathece clathrata,FALSE,,Anathece,clathrata,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,Fragilaria ulna var. acus,Fragiliaria acus,FALSE,,Fragiliaria,acus,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,Goniochloris mutica,Goniochloris mutica,TRUE,,Goniochloris,mutica,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,Gonium sociale,Tetrabaena socialis,FALSE,,Tetrabaena,socialis,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,Anabaena bergii v. minor,Chrysosporum minus,FALSE,,Chrysosporum,minus,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,Goniochloris,Goniochloris,TRUE,,Goniochloris,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,Tetradesmus lunatus,Tetradesmus lunatus,TRUE,,Tetradesmus,lunatus,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,Cyanonephron styloides,Cyanonephron styloides,TRUE,,Cyanonephron,styloides,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,Bacill. sp. 0.75 cube,Pennate diatoms 0.75 cube,FALSE,,Pennate,diatoms,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,Bicosoeca tubiformis,Bicosoeca tubiformis,TRUE,,Bicosoeca,tubiformis,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,Picocyano,Picocyano,TRUE,,Picocyano,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,Dictyosphaerium sphagnale,Mucidosphaerium sphagnale,FALSE,,Mucidosphaerium,sphagnale,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,Scenedesmus acuminatus,Tetradesmus lagerheimii,FALSE,,Tetradesmus,lagerheimii,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,Dinobryon sp. Cyst,XXXX,FALSE,We are not including cysts,XXXX,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,Chroococcales sp.,Chroococcales,FALSE,,Chroococcales,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,Microcrocis sp.,Microcrocis,FALSE,,Microcrocis,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,Bacill. sp. 0.65 cube,Pennate diatoms 0.65 cube,FALSE,,Pennate,diatoms,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,Chlorophyta sp.,Chlorophyta,FALSE,,Chlorophyta,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,Chrysophyta cyst,Chrysophyta cyst,TRUE,,Chrysophyta,cyst,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,Surirella biseriata,Iconella biseriata,FALSE,,Iconella,biseriata,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,Peridinium aciculiferum,Apocalathium aciculiferum,FALSE,,Apocalathium,aciculiferum,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
